Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
pipesworld-notankage-p13-net2-b12-g3,0,True,189,913,1953,3072,5215,4117,66814,0,0,,,,0,,,12.0,1e+20,12,0.0131,0.009,0.0,0.0374,0.0,0.0,,3.0651,3.1247
pipesworld-notankage-p14-net2-b12-g5,2,True,191,984,2109,3309,5371,4427,67011,0,0,,,,1630,,,16.903,1e+20,18,0.0158,0.0094,0.0,0.0402,0.0,0.0,,899.963,900.0285
pipesworld-notankage-p15-net2-b14-g4,0,True,202,940,1936,3097,5017,4171,50645,0,0,,,,0,,,14.0,1e+20,14,0.0142,0.0097,0.0,0.031,0.0,0.0,,7.6768,7.7318
pipesworld-notankage-p16-net2-b14-g6,0,True,198,940,1948,3110,5021,4196,50544,0,0,,,,0,,,19.0,1e+20,19,0.0142,0.0099,0.0,0.028,0.0,0.0,,8.0171,8.0692
pipesworld-notankage-p17-net2-b16-g5,0,True,295,1558,3291,5163,8293,6862,118047,0,0,,,,0,,,12.0,1e+20,12,0.0252,0.0193,0.0,0.0688,0.0,0.0,,3.1802,3.2937
pipesworld-notankage-p18-net2-b16-g7,0,True,289,1558,3336,5210,8341,6951,118241,0,0,,,,655,,,18.0,1e+20,18,0.0206,0.0194,0.0,0.0704,0.0,0.0,,66.5689,66.6795
pipesworld-notankage-p19-net2-b18-g6,0,True,350,1900,4069,6344,10211,8499,152182,0,0,,,,6272,,,20.0,1e+20,20,0.0235,0.0291,0.0,0.0863,0.0,0.0,,869.5571,869.6961
pipesworld-notankage-p20-net2-b18-g8,0,True,345,1900,4106,6383,10253,8573,152635,0,0,,,,4139,,,23.0,1e+20,23,0.022,0.0283,0.0,0.0865,0.0,0.0,,761.968,762.1051
pipesworld-notankage-p21-net3-b12-g2,0,True,229,1025,2205,3470,6155,4704,85418,0,0,,,,0,,,9.0,1e+20,9,0.0145,0.0117,0.0,0.0462,0.0,0.0,,2.4991,2.5716
pipesworld-notankage-p22-net3-b12-g4,0,True,219,1025,2253,3525,6198,4802,85467,0,0,,,,0,,,19.0,1e+20,19,0.0153,0.0125,0.0,0.0467,0.0,0.0,,15.0129,15.0875
pipesworld-notankage-p23-net3-b14-g3,0,True,297,1466,3231,5016,8019,6771,113482,0,0,,,,0,,,14.0,1e+20,14,0.0195,0.0209,0.0,0.0647,0.0,0.0,,16.1578,16.2631
pipesworld-notankage-p24-net3-b14-g5,0,True,293,1466,3278,5065,8064,6863,113559,0,0,,,,0,,,18.0,1e+20,18,0.0206,0.0219,0.0,0.0654,0.0,0.0,,8.4531,8.5611
pipesworld-notankage-p25-net3-b16-g5,0,True,363,1900,4159,6452,10150,8683,150336,0,0,,,,251,,,20.0,1e+20,20,0.0268,0.0346,0.0,0.0855,0.0,0.0,,82.6863,82.8335
pipesworld-notankage-p26-net3-b16-g7,0,True,355,1900,4187,6482,10182,8738,150285,0,0,,,,467,,,24.0,1e+20,24,0.0271,0.0345,0.0,0.0863,0.0,0.0,,181.1885,181.3366
pipesworld-notankage-p27-net3-b18-g6,0,True,429,2280,5085,7824,11907,10597,178948,0,0,,,,0,,,19.0,1e+20,19,0.0298,0.0482,0.0,0.1035,0.0,0.0,,20.5131,20.6949
pipesworld-notankage-p28-net3-b18-g7,0,True,424,2280,5099,7839,11932,10625,179073,0,0,,,,0,,,25.0,1e+20,25,0.0303,0.0477,0.0,0.1036,0.0,0.0,,19.52,19.7019
pipesworld-notankage-p29-net3-b20-g6,0,True,522,2910,6425,9888,16502,13354,336746,0,0,,,,351,,,21.0,1e+20,21,0.0398,0.0713,0.0,0.179,0.0,0.0,,140.2109,140.5014
pipesworld-notankage-p30-net3-b20-g8,0,True,468,2661,5817,8984,13508,11991,209424,0,0,,,,613,,,30.0,1e+20,30,0.0354,0.0578,0.0,0.1236,0.0,0.0,,318.3826,318.5997
pipesworld-notankage-p31-net4-b14-g3,2,True,325,2131,5171,7639,16025,10240,450821,0,0,,,,115,,,13.0,1e+20,21,0.0249,0.0392,0.0,0.2265,0.0,0.0,,899.8479,900.1388
pipesworld-notankage-p32-net4-b14-g5,2,True,320,2131,5193,7663,16051,10290,450854,0,0,,,,125,,,16.0,1e+20,24,0.0254,0.0405,0.0,0.2265,0.0,0.0,,899.9432,900.2359
pipesworld-notankage-p33-net4-b16-g5,2,True,359,2256,5479,8112,19287,10901,588621,0,0,,,,334,,,15.521,1e+20,18,0.0296,0.0464,0.0,0.2912,0.0,0.0,,899.8437,900.2112
pipesworld-notankage-p34-net4-b16-g6,2,True,385,2589,6372,9370,20302,12580,626314,0,0,,,,270,,,17.895,1e+20,30,0.0346,0.0586,0.0,0.3188,0.0,0.0,,899.9653,900.3777
pipesworld-notankage-p35-net4-b18-g4,2,True,475,3482,8431,12402,25735,16442,899242,0,0,,,,73,,,11.625,1e+20,29,0.0438,0.0898,0.0,0.4551,0.0,0.0,,899.7159,900.305
pipesworld-notankage-p36-net4-b18-g6,2,True,470,3482,8499,12473,25967,16580,899678,0,0,,,,79,,,14.841,1e+20,22,0.0577,0.0915,0.0,0.4568,0.0,0.0,,899.7032,900.3095
pipesworld-notankage-p37-net4-b20-g5,2,True,546,3944,9730,14236,31297,18953,1201983,0,0,,,,60,,,12.075,1e+20,16,0.0524,0.118,0.0,0.6576,0.0,0.0,,899.6094,900.4379
pipesworld-notankage-p38-net4-b20-g7,2,True,544,3944,9784,14291,31360,19059,1201967,0,0,,,,64,,,14.89,1e+20,33,0.0578,0.1182,0.0,0.6558,0.0,0.0,,899.4815,900.3137
pipesworld-notankage-p39-net4-b22-g7,2,True,669,5227,12906,18829,39261,25095,1621081,0,0,,,,18,,,17.264,1e+20,24,0.0818,0.1954,0.0,0.907,0.0,0.0,,899.3266,900.5113
