Instance,Status,Unit_Costs,N_Atoms,N_Acts,N_Effects,N_Var_Base,N_Var_Acyc,N_Const_Base,N_Const_Acyc,N_Cuts_LM,N_Cuts_Sec,N_RCB_Calls,N_CCB_Calls,N_CL_It,N_Nodes,Initial_LB,Root_LB,Final_LB,Initial_UB,Final_UB,Parsing_Time,Prep_Time,Heur_Time,Build_Time,RCB_Time,CCB_Time,CL_Time,CPX_Time,Time
hiking-sat14-strips-ptesting-1-2-7,0,True,12,13,67,123,81,185,102,0,0,,,,0,,,13.0,13,13,0.0066,0.0014,0.0001,0.0015,0.0,0.0,,0.0067,0.0163
hiking-sat14-strips-ptesting-1-2-8,0,True,14,15,78,143,97,217,126,0,0,,,,0,,,15.0,15,15,0.0186,0.002,0.0001,0.0026,0.0,0.0,,0.0079,0.0312
hiking-sat14-strips-ptesting-2-2-6,0,True,22,202,722,976,229,976,794,0,0,,,,0,,,16.0,20,16,0.0237,0.0087,0.0005,0.0053,0.0,0.0,,0.0278,0.0664
hiking-sat14-strips-ptesting-2-2-7,0,True,26,170,650,882,241,946,357,0,0,,,,0,,,19.0,24,19,0.0205,0.0196,0.0009,0.0051,0.0,0.0,,0.0436,0.09
hiking-sat14-strips-ptesting-2-2-8,0,True,30,282,1010,1364,334,1372,1152,0,0,,,,0,,,22.0,28,22,0.0273,0.0237,0.001,0.0027,0.0,0.0,,0.0384,0.0934
hiking-sat14-strips-ptesting-2-3-6,0,True,27,202,782,1041,222,1031,424,0,0,,,,0,,,16.0,20,16,0.0257,0.0194,0.0009,0.0027,0.0,0.0,,0.0267,0.0758
hiking-sat14-strips-ptesting-2-3-7,0,True,32,242,938,1248,291,1252,913,0,0,,,,0,,,19.0,24,19,0.0672,0.0261,0.0012,0.0049,0.0,0.0,,0.0382,0.1379
hiking-sat14-strips-ptesting-2-3-8,0,True,37,282,1094,1455,335,1463,1046,0,0,,,,0,,,22.0,28,22,0.0457,0.0434,0.0018,0.0038,0.0,0.0,,0.0792,0.1746
hiking-sat14-strips-ptesting-2-4-5,0,True,26,210,818,1078,190,1030,695,0,0,,,,0,,,13.0,16,13,0.0242,0.0125,0.0007,0.0037,0.0,0.0,,0.0327,0.0741
hiking-sat14-strips-ptesting-2-4-6,0,True,32,382,1382,1826,304,1666,1476,0,0,,,,0,,,16.0,20,16,0.0305,0.0245,0.0011,0.003,0.0,0.0,,0.0551,0.1145
